TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE
IDI_Clean_202303,acc_clean,claims,acc_cla_accident_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_accident_in_nz_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_accident_region_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_accident_ta_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_accredited_employer_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_activity_prior_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_age_at_accident_nbr,int
IDI_Clean_202303,acc_clean,claims,acc_cla_assault_flag,smallint
IDI_Clean_202303,acc_clean,claims,acc_cla_at_work_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_case_management_end_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_cause_desc,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_classification_unit_code,int
IDI_Clean_202303,acc_clean,claims,acc_cla_classification_unit_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_client_earner_stat_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_contact_desc,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_decision_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_decision_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_distinct_wc_periods,smallint
IDI_Clean_202303,acc_clean,claims,acc_cla_external_agency_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_fatal_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_financial_end_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_first_incapacity_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_first_incapacity_days,int
IDI_Clean_202303,acc_clean,claims,acc_cla_first_incapacity_type,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_first_med_payment_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_first_wc_payment_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_fund_account_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_grad_process_claim_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_icd10_code,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_icd9_code,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_industry_code,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_industry_desc_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_last_entitlement_pd_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_last_med_payment_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_last_wc_payment_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_life_time_est_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_life_time_est_year_nbr,smallint
IDI_Clean_202303,acc_clean,claims,acc_cla_life_time_estimate_amt,decimal
IDI_Clean_202303,acc_clean,claims,acc_cla_life_time_future_est_amt,decimal
IDI_Clean_202303,acc_clean,claims,acc_cla_lodgement_date,date
IDI_Clean_202303,acc_clean,claims,acc_cla_lodgement_prov_hospital,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_lodgement_provider,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_lodgement_provider_dhb,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_multiple_injury_ind,char
IDI_Clean_202303,acc_clean,claims,acc_cla_occupation_level_1_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_occupation_level_5_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_prim_injur_body_side_txt,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_primary_injury_site_text,varchar
IDI_Clean_202303,acc_clean,claims,acc_cla_primary_road_agency_text,varchar
